video_id,labeler_2,labeler_1,start_seconds,end_seconds,duration
tE8Ml8aDk18,suturing,suturing,387,398,11
tE8Ml8aDk18,tying,suturing,399,404,5
tE8Ml8aDk18,abstain,suturing,405,412,7
y0ie8xT6Hx0,cutting,cutting,34,39,5
y0ie8xT6Hx0,cutting,cutting,51,198,147
txCYSkZIrjE,,cutting,7,169,162
txCYSkZIrjE,,cutting,245,275,30
txCYSkZIrjE,,cutting,327,350,23
txCYSkZIrjE,,cutting,358,366,8
txCYSkZIrjE,,cutting,382,385,3
txCYSkZIrjE,,cutting,399,403,4
txCYSkZIrjE,,cutting,598,602,4
txCYSkZIrjE,,cutting,650,654,4
txCYSkZIrjE,,cutting,660,663,3
txCYSkZIrjE,,tying,299,308,9
txCYSkZIrjE,,tying,312,326,14
txCYSkZIrjE,,tying,671,684,13
txCYSkZIrjE,,tying,690,700,10
txCYSkZIrjE,,tying,725,730,5
txCYSkZIrjE,,suturing,709,723,14
7RljEDWk4ZU,cutting,cutting,101,106,5
7RljEDWk4ZU,cutting,cutting,123,132,9
7RljEDWk4ZU,cutting,cutting,142,150,8
7RljEDWk4ZU,cutting,cutting,163,184,21
7RljEDWk4ZU,tying,suturing,300,311,11
ejXLixqZVSs,cutting,cutting,247,320,73
ejXLixqZVSs,cutting,cutting,347,364,17
ejXLixqZVSs,cutting,cutting,405,434,29
ejXLixqZVSs,cutting,cutting,470,495,25
ejXLixqZVSs,,cutting,564,566,2
ejXLixqZVSs,cutting,cutting,584,594,10
ejXLixqZVSs,cutting,cutting,659,666,7
ejXLixqZVSs,cutting,cutting,693,710,17
ejXLixqZVSs,cutting,cutting,740,765,25
ejXLixqZVSs,,cutting,937,941,4
ejXLixqZVSs,cutting,cutting,1025,1049,24
ejXLixqZVSs,,cutting,1074,1076,2
ejXLixqZVSs,,cutting,1104,1106,2
ejXLixqZVSs,,cutting,1154,1156,2
ejXLixqZVSs,cutting,cutting,1284,1292,8
ejXLixqZVSs,,cutting,1414,1417,3
ejXLixqZVSs,,cutting,1464,1467,3
ejXLixqZVSs,,tying,846,851,5
ejXLixqZVSs,,tying,1158,1160,2
ejXLixqZVSs,tying,tying,1211,1250,39
ejXLixqZVSs,tying,tying,1264,1282,18
ejXLixqZVSs,tying,tying,1302,1318,16
ejXLixqZVSs,suturing,suturing,805,820,15
ejXLixqZVSs,,suturing,948,950,2
ejXLixqZVSs,suturing,suturing,1250,1255,5
ejXLixqZVSs,cutting,suturing,1256,1264,8
ejXLixqZVSs,suturing,suturing,1525,1571,46
En4tbEsYKwI,cutting,cutting,25,35,10
En4tbEsYKwI,cutting,cutting,60,90,30
En4tbEsYKwI,cutting,cutting,105,130,25
En4tbEsYKwI,cutting,cutting,140,150,10
tnXv-7fulTY,cutting,cutting,84,110,26
tnXv-7fulTY,cutting,cutting,128,153,25
sL5tVxz89i4,cutting,cutting,301,331,30
sL5tVxz89i4,cutting,cutting,342,408,66
sL5tVxz89i4,,cutting,440,445,5
sL5tVxz89i4,cutting,cutting,537,542,5
sL5tVxz89i4,cutting,cutting,858,964,106
sL5tVxz89i4,cutting,cutting,1056,1118,62
LgmXCOICHLA,,tying,143,147,4
LgmXCOICHLA,tying,tying,153,169,16
LgmXCOICHLA,tying,tying,173,184,11
LgmXCOICHLA,,tying,198,201,3
LgmXCOICHLA,tying,tying,207,213,6
LgmXCOICHLA,suturing,suturing,135,142,7
LgmXCOICHLA,,suturing,148,152,4
LgmXCOICHLA,,suturing,170,172,2
LgmXCOICHLA,suturing,suturing,191,197,6
LgmXCOICHLA,,suturing,202,206,4
LgmXCOICHLA,suturing,suturing,215,259,44
pWIti7kfTyk,,cutting,9,12,3
pWIti7kfTyk,suturing,tying,75,80,5
pWIti7kfTyk,tying,tying,81,97,16
vfHOapUt5kA,cutting,cutting,15,22,7
vfHOapUt5kA,cutting,cutting,22,33,11
vfHOapUt5kA,none,cutting,34,40,6
vfHOapUt5kA,cutting,cutting,45,56,11
vfHOapUt5kA,none,cutting,57,62,5
vfHOapUt5kA,cutting,cutting,63,85,22
vfHOapUt5kA,cutting,cutting,86,110,24
vfHOapUt5kA,tying,tying,235,242,7
vfHOapUt5kA,suturing,suturing,112,141,29
vfHOapUt5kA,cutting,suturing,142,147,5
vfHOapUt5kA,abstain,suturing,148,153,5
vfHOapUt5kA,suturing,suturing,154,171,17
vfHOapUt5kA,tying,suturing,172,183,11
vfHOapUt5kA,suturing,suturing,184,189,5
vfHOapUt5kA,tying,suturing,190,207,17
vfHOapUt5kA,suturing,suturing,208,219,11
vfHOapUt5kA,tying,suturing,220,225,5
vfHOapUt5kA,none,suturing,226,232,6
qxaOo9Q0g2M,cutting,cutting,47,60,13
qxaOo9Q0g2M,cutting,cutting,72,82,10
qxaOo9Q0g2M,cutting,cutting,84,96,12
qxaOo9Q0g2M,cutting,cutting,102,139,37
qxaOo9Q0g2M,cutting,cutting,158,164,6
qxaOo9Q0g2M,tying,tying,257,280,23
qxaOo9Q0g2M,suturing,tying,281,286,5
qxaOo9Q0g2M,tying,tying,287,297,10
qxaOo9Q0g2M,suturing,suturing,342,395,53
qxaOo9Q0g2M,tying,suturing,396,401,5
qxaOo9Q0g2M,abstain,suturing,402,407,5
qxaOo9Q0g2M,suturing,suturing,408,413,5
qxaOo9Q0g2M,tying,suturing,414,419,5
qxaOo9Q0g2M,suturing,suturing,420,465,45
Kvpfsw4yCrM,,cutting,229,233,4
Kvpfsw4yCrM,,tying,203,217,14
Kvpfsw4yCrM,,tying,250,260,10
YGJLGKetzy0,none,cutting,35,161,126
2ekkzoZ_uns,,cutting,10,26,16
2ekkzoZ_uns,,cutting,49,53,4
2ekkzoZ_uns,,tying,525,527,2
2ekkzoZ_uns,,tying,589,593,4
2ekkzoZ_uns,,tying,596,599,3
2ekkzoZ_uns,,suturing,501,504,3
2ekkzoZ_uns,,suturing,514,521,7
2ekkzoZ_uns,,suturing,564,568,4
2ekkzoZ_uns,,suturing,572,578,6
2ekkzoZ_uns,,suturing,579,586,7
wIr-9Myre4k,cutting,cutting,67,99,32
wIr-9Myre4k,cutting,cutting,109,138,29
wIr-9Myre4k,cutting,cutting,169,183,14
wIr-9Myre4k,cutting,cutting,270,328,58
wIr-9Myre4k,cutting,cutting,340,358,18
wIr-9Myre4k,tying,tying,227,234,7
wIr-9Myre4k,,tying,415,418,3
wIr-9Myre4k,suturing,suturing,100,108,8
wIr-9Myre4k,suturing,suturing,184,219,35
wIr-9Myre4k,suturing,suturing,374,407,33
wmDkmO4PAYI,cutting,cutting,67,83,16
wmDkmO4PAYI,cutting,cutting,106,121,15
wmDkmO4PAYI,,tying,703,715,12
wmDkmO4PAYI,,suturing,629,630,1
wmDkmO4PAYI,,suturing,674,678,4
Sz57XML7IGA,cutting,cutting,66,84,18
ZXQPWRUdFqc,cutting,cutting,72,118,46
ZXQPWRUdFqc,cutting,cutting,131,138,7
ZXQPWRUdFqc,,cutting,205,208,3
ZXQPWRUdFqc,,tying,175,180,5
ZXQPWRUdFqc,tying,tying,187,203,16
ZXQPWRUdFqc,suturing,suturing,153,175,22
GQQzVPySxPI,cutting,cutting,77,140,63
GQQzVPySxPI,cutting,cutting,149,176,27
GQQzVPySxPI,cutting,cutting,182,230,48
GQQzVPySxPI,cutting,cutting,324,332,8
GQQzVPySxPI,cutting,cutting,427,442,15
GQQzVPySxPI,,tying,263,268,5
GQQzVPySxPI,suturing,tying,301,310,9
GQQzVPySxPI,tying,tying,374,381,7
GQQzVPySxPI,,tying,411,415,4
GQQzVPySxPI,suturing,suturing,237,263,26
GQQzVPySxPI,suturing,suturing,293,301,8
GQQzVPySxPI,suturing,suturing,314,323,9
GQQzVPySxPI,suturing,suturing,333,344,11
GQQzVPySxPI,tying,suturing,345,350,5
GQQzVPySxPI,suturing,suturing,351,368,17
GQQzVPySxPI,suturing,suturing,382,405,23
PzaCNn8IIVw,cutting,cutting,21,95,74
PzaCNn8IIVw,suturing,suturing,103,120,17
SRQb7RGQ52M,cutting,cutting,16,72,56
SRQb7RGQ52M,cutting,cutting,239,246,7
8OK-_4Wx3QY,cutting,cutting,34,60,26
8OK-_4Wx3QY,cutting,cutting,73,89,16
8OK-_4Wx3QY,,cutting,95,97,2
8OK-_4Wx3QY,,cutting,119,121,2
8OK-_4Wx3QY,,cutting,157,160,3
8OK-_4Wx3QY,,cutting,420,423,3
8OK-_4Wx3QY,,cutting,433,435,2
8OK-_4Wx3QY,cutting,cutting,535,545,10
8OK-_4Wx3QY,,cutting,547,550,3
8OK-_4Wx3QY,,cutting,1087,1090,3
8OK-_4Wx3QY,tying,tying,298,317,19
8OK-_4Wx3QY,tying,tying,340,350,10
8OK-_4Wx3QY,tying,tying,457,496,39
8OK-_4Wx3QY,,tying,508,512,4
8OK-_4Wx3QY,tying,tying,520,528,8
8OK-_4Wx3QY,tying,tying,665,684,19
8OK-_4Wx3QY,tying,tying,731,750,19
8OK-_4Wx3QY,tying,tying,781,791,10
8OK-_4Wx3QY,suturing,tying,808,815,7
8OK-_4Wx3QY,tying,tying,827,836,9
8OK-_4Wx3QY,tying,tying,849,859,10
8OK-_4Wx3QY,tying,tying,876,892,16
8OK-_4Wx3QY,tying,tying,902,915,13
8OK-_4Wx3QY,tying,tying,988,1004,16
8OK-_4Wx3QY,,tying,1010,1014,4
8OK-_4Wx3QY,tying,tying,1046,1059,13
8OK-_4Wx3QY,tying,tying,1076,1083,7
8OK-_4Wx3QY,,tying,1100,1104,4
8OK-_4Wx3QY,tying,tying,1120,1126,6
8OK-_4Wx3QY,tying,tying,1150,1159,9
8OK-_4Wx3QY,tying,tying,1172,1177,5
8OK-_4Wx3QY,tying,tying,1194,1201,7
8OK-_4Wx3QY,tying,tying,1215,1225,10
8OK-_4Wx3QY,,suturing,660,665,5
8OK-_4Wx3QY,suturing,suturing,691,730,39
8OK-_4Wx3QY,suturing,suturing,769,774,5
8OK-_4Wx3QY,suturing,suturing,799,807,8
8OK-_4Wx3QY,suturing,suturing,820,826,6
8OK-_4Wx3QY,suturing,suturing,842,848,6
8OK-_4Wx3QY,suturing,suturing,868,875,7
8OK-_4Wx3QY,suturing,suturing,895,901,6
8OK-_4Wx3QY,,suturing,984,987,3
8OK-_4Wx3QY,,suturing,1005,1009,4
8OK-_4Wx3QY,suturing,suturing,1015,1045,30
8OK-_4Wx3QY,suturing,suturing,1068,1075,7
8OK-_4Wx3QY,suturing,suturing,1093,1099,6
8OK-_4Wx3QY,suturing,suturing,1109,1119,10
8OK-_4Wx3QY,suturing,suturing,1142,1149,7
8OK-_4Wx3QY,,suturing,1166,1171,5
8OK-_4Wx3QY,,suturing,1189,1193,4
8OK-_4Wx3QY,,suturing,1211,1214,3
8OK-_4Wx3QY,,suturing,1232,1236,4
wIVcst7zrig,,cutting,112,118,6
wIVcst7zrig,,cutting,189,198,9
wIVcst7zrig,,cutting,221,240,19
wIVcst7zrig,,suturing,275,280,5
wIVcst7zrig,,suturing,308,311,3
wIVcst7zrig,,suturing,390,393,3
e12tIDPDfwU,,cutting,11,16,5
e12tIDPDfwU,cutting,cutting,21,26,5
e12tIDPDfwU,cutting,cutting,37,44,7
e12tIDPDfwU,tying,tying,94,103,9
e12tIDPDfwU,tying,tying,168,183,15
e12tIDPDfwU,suturing,suturing,75,84,9
e12tIDPDfwU,,suturing,117,120,3
e12tIDPDfwU,suturing,suturing,124,133,9
e12tIDPDfwU,,suturing,141,144,3
e12tIDPDfwU,suturing,suturing,152,164,12
e12tIDPDfwU,,suturing,196,201,5
e12tIDPDfwU,,suturing,219,221,2
e12tIDPDfwU,,suturing,232,236,4
e12tIDPDfwU,suturing,suturing,258,280,22
sWxGr_rj7rM,cutting,cutting,97,128,31
sWxGr_rj7rM,cutting,cutting,137,176,39
sWxGr_rj7rM,,cutting,255,260,5
sWxGr_rj7rM,cutting,cutting,265,289,24
sWxGr_rj7rM,tying,tying,346,352,6
sWxGr_rj7rM,suturing,suturing,50,59,9
sWxGr_rj7rM,suturing,suturing,369,379,10
sWxGr_rj7rM,suturing,suturing,397,404,7
sWxGr_rj7rM,suturing,suturing,411,446,35
sWxGr_rj7rM,suturing,suturing,462,489,27
sWxGr_rj7rM,suturing,suturing,538,547,9
A42Nt7WsxTE,none,cutting,180,185,5
A42Nt7WsxTE,,cutting,213,273,60
A42Nt7WsxTE,,cutting,279,290,11
A42Nt7WsxTE,,cutting,306,310,4
A42Nt7WsxTE,,cutting,455,461,6
A42Nt7WsxTE,,cutting,485,498,13
A42Nt7WsxTE,,suturing,560,595,35
JUTyS7ZRRkQ,suturing,suturing,50,55,5
JUTyS7ZRRkQ,tying,suturing,56,69,13
JUTyS7ZRRkQ,suturing,suturing,90,113,23
JUTyS7ZRRkQ,suturing,suturing,195,207,12
JUTyS7ZRRkQ,suturing,suturing,236,247,11
JUTyS7ZRRkQ,tying,suturing,248,255,7
JUTyS7ZRRkQ,suturing,suturing,262,275,13
JUTyS7ZRRkQ,suturing,suturing,351,358,7
JUTyS7ZRRkQ,,suturing,417,421,4
JUTyS7ZRRkQ,,suturing,439,444,5
JUTyS7ZRRkQ,suturing,suturing,475,515,40
JUTyS7ZRRkQ,suturing,suturing,530,552,22
UDaMvSGMa3w,cutting,cutting,0,22,22
UDaMvSGMa3w,cutting,cutting,108,118,10
PyIDO9qA2_g,cutting,cutting,46,93,47
PyIDO9qA2_g,none,cutting,94,99,5
PyIDO9qA2_g,cutting,cutting,100,141,41
PyIDO9qA2_g,none,cutting,142,147,5
PyIDO9qA2_g,cutting,cutting,148,190,42
daht-zR1G4s,,cutting,66,68,2
daht-zR1G4s,,cutting,71,78,7
daht-zR1G4s,,cutting,115,118,3
daht-zR1G4s,,cutting,121,126,5
daht-zR1G4s,,cutting,127,136,9
daht-zR1G4s,,cutting,138,156,18
daht-zR1G4s,,cutting,170,180,10
daht-zR1G4s,,cutting,206,208,2
daht-zR1G4s,,tying,235,242,7
daht-zR1G4s,,tying,248,252,4
daht-zR1G4s,,tying,293,304,11
daht-zR1G4s,,tying,312,318,6
daht-zR1G4s,,tying,360,365,5
daht-zR1G4s,,suturing,229,233,4
daht-zR1G4s,,suturing,284,291,7
daht-zR1G4s,,suturing,306,311,5
daht-zR1G4s,,suturing,349,356,7
kRWNgDQ-WcU,cutting,cutting,0,5,5
kRWNgDQ-WcU,none,cutting,6,11,5
kRWNgDQ-WcU,cutting,cutting,12,62,50
kRWNgDQ-WcU,cutting,cutting,68,87,19
kRWNgDQ-WcU,cutting,cutting,177,184,7
kRWNgDQ-WcU,,cutting,235,239,4
kRWNgDQ-WcU,,cutting,242,245,3
kRWNgDQ-WcU,cutting,cutting,340,345,5
kRWNgDQ-WcU,,cutting,359,361,2
kRWNgDQ-WcU,tying,tying,147,158,11
kRWNgDQ-WcU,tying,tying,212,226,14
kRWNgDQ-WcU,tying,tying,314,340,26
kRWNgDQ-WcU,tying,tying,384,393,9
kRWNgDQ-WcU,tying,tying,485,494,9
kRWNgDQ-WcU,tying,tying,557,573,16
kRWNgDQ-WcU,,tying,623,628,5
kRWNgDQ-WcU,tying,tying,634,652,18
kRWNgDQ-WcU,tying,tying,676,686,10
kRWNgDQ-WcU,tying,tying,697,705,8
kRWNgDQ-WcU,tying,tying,714,720,6
kRWNgDQ-WcU,,suturing,138,142,4
kRWNgDQ-WcU,cutting,suturing,200,209,9
kRWNgDQ-WcU,suturing,suturing,368,381,13
kRWNgDQ-WcU,suturing,suturing,415,438,23
kRWNgDQ-WcU,none,suturing,439,444,5
kRWNgDQ-WcU,suturing,suturing,445,484,39
kRWNgDQ-WcU,suturing,suturing,550,556,6
kRWNgDQ-WcU,suturing,suturing,581,616,35
kRWNgDQ-WcU,,suturing,629,633,4
kRWNgDQ-WcU,,suturing,670,675,5
kRWNgDQ-WcU,,suturing,691,696,5
kRWNgDQ-WcU,,suturing,710,713,3
kRWNgDQ-WcU,suturing,suturing,726,828,102
qaAoYqg2vWo,cutting,cutting,4,153,149
qaAoYqg2vWo,none,cutting,154,159,5
qaAoYqg2vWo,cutting,cutting,160,189,29
qaAoYqg2vWo,tying,tying,476,494,18
qaAoYqg2vWo,tying,tying,499,519,20
qaAoYqg2vWo,tying,tying,539,557,18
qaAoYqg2vWo,tying,tying,787,808,21
qaAoYqg2vWo,suturing,tying,816,821,5
qaAoYqg2vWo,tying,tying,822,833,11
qaAoYqg2vWo,suturing,tying,834,845,11
qaAoYqg2vWo,tying,tying,846,870,24
FotC4hB7Y0c,,cutting,3,17,14
FotC4hB7Y0c,,cutting,18,34,16
FotC4hB7Y0c,,cutting,128,144,16
FotC4hB7Y0c,,tying,102,114,12
FotC4hB7Y0c,,tying,166,180,14
FotC4hB7Y0c,,tying,210,217,7
FotC4hB7Y0c,,suturing,99,102,3
FotC4hB7Y0c,,suturing,146,164,18
FotC4hB7Y0c,,suturing,183,200,17
iUwBjZUs_xo,cutting,cutting,18,101,83
iUwBjZUs_xo,cutting,cutting,108,143,35
iUwBjZUs_xo,none,cutting,144,149,5
iUwBjZUs_xo,cutting,cutting,150,161,11
iUwBjZUs_xo,none,cutting,162,167,5
iUwBjZUs_xo,cutting,cutting,168,191,23
iUwBjZUs_xo,none,cutting,192,197,5
iUwBjZUs_xo,cutting,cutting,198,203,5
iUwBjZUs_xo,none,cutting,204,215,11
iUwBjZUs_xo,cutting,cutting,216,281,65
iUwBjZUs_xo,none,cutting,282,293,11
iUwBjZUs_xo,cutting,cutting,294,335,41
iUwBjZUs_xo,tying,cutting,336,341,5
iUwBjZUs_xo,cutting,cutting,342,387,45
TZ9IgsIMRW4,cutting,cutting,124,135,11
TZ9IgsIMRW4,none,cutting,136,141,5
TZ9IgsIMRW4,cutting,cutting,142,150,8
TZ9IgsIMRW4,cutting,cutting,234,296,62
TZ9IgsIMRW4,tying,tying,183,214,31
TZ9IgsIMRW4,suturing,suturing,170,182,12
DM3aDFlbh9A,cutting,cutting,312,347,35
DM3aDFlbh9A,none,cutting,348,353,5
DM3aDFlbh9A,none,cutting,360,401,41
DM3aDFlbh9A,cutting,cutting,402,508,106
DM3aDFlbh9A,cutting,cutting,716,733,17
DM3aDFlbh9A,none,cutting,734,743,9
DM3aDFlbh9A,suturing,tying,810,821,11
DM3aDFlbh9A,tying,tying,822,884,62
DM3aDFlbh9A,tying,tying,993,1004,11
DM3aDFlbh9A,suturing,suturing,567,578,11
DM3aDFlbh9A,tying,suturing,579,590,11
DM3aDFlbh9A,suturing,suturing,591,596,5
DM3aDFlbh9A,tying,suturing,597,644,47
GkKGPN4gado,cutting,cutting,7,124,117
GkKGPN4gado,cutting,cutting,240,258,18
GkKGPN4gado,tying,tying,146,166,20
GkKGPN4gado,suturing,suturing,134,139,5
GkKGPN4gado,suturing,suturing,167,196,29
GkKGPN4gado,none,suturing,197,208,11
GkKGPN4gado,suturing,suturing,209,235,26
2j-J2IiHLB8,cutting,cutting,401,406,5
2j-J2IiHLB8,cutting,cutting,403,408,5
2j-J2IiHLB8,cutting,cutting,407,413,6
2j-J2IiHLB8,,cutting,415,435,20
2j-J2IiHLB8,cutting,cutting,465,470,5
2j-J2IiHLB8,cutting,cutting,469,474,5
2j-J2IiHLB8,cutting,cutting,471,476,5
2j-J2IiHLB8,cutting,cutting,475,480,5
2j-J2IiHLB8,cutting,cutting,477,482,5
2j-J2IiHLB8,cutting,cutting,481,486,5
2j-J2IiHLB8,cutting,cutting,483,488,5
2j-J2IiHLB8,cutting,cutting,487,492,5
2j-J2IiHLB8,cutting,cutting,489,494,5
2j-J2IiHLB8,cutting,cutting,506,511,5
2j-J2IiHLB8,cutting,cutting,511,516,5
2j-J2IiHLB8,cutting,cutting,512,517,5
2j-J2IiHLB8,cutting,cutting,517,522,5
2j-J2IiHLB8,cutting,cutting,518,523,5
2j-J2IiHLB8,cutting,cutting,523,528,5
2j-J2IiHLB8,cutting,cutting,524,532,8
2j-J2IiHLB8,,cutting,541,550,9
2j-J2IiHLB8,cutting,cutting,590,595,5
2j-J2IiHLB8,cutting,cutting,595,600,5
2j-J2IiHLB8,cutting,cutting,596,601,5
2j-J2IiHLB8,cutting,cutting,601,606,5
2j-J2IiHLB8,cutting,cutting,602,607,5
2j-J2IiHLB8,cutting,cutting,607,612,5
2j-J2IiHLB8,cutting,cutting,608,613,5
2j-J2IiHLB8,cutting,cutting,613,618,5
2j-J2IiHLB8,cutting,cutting,614,619,5
2j-J2IiHLB8,cutting,cutting,619,624,5
2j-J2IiHLB8,cutting,cutting,620,625,5
2j-J2IiHLB8,cutting,cutting,625,630,5
2j-J2IiHLB8,cutting,cutting,626,635,9
2j-J2IiHLB8,cutting,cutting,638,643,5
2j-J2IiHLB8,cutting,cutting,643,648,5
2j-J2IiHLB8,cutting,cutting,644,652,8
2j-J2IiHLB8,,cutting,678,682,4
2j-J2IiHLB8,cutting,cutting,682,692,10
2j-J2IiHLB8,cutting,cutting,717,722,5
2j-J2IiHLB8,cutting,cutting,721,726,5
2j-J2IiHLB8,cutting,cutting,723,728,5
2j-J2IiHLB8,cutting,cutting,737,742,5
2j-J2IiHLB8,cutting,cutting,739,744,5
2j-J2IiHLB8,cutting,cutting,743,748,5
2j-J2IiHLB8,cutting,cutting,745,750,5
2j-J2IiHLB8,cutting,cutting,749,757,8
2j-J2IiHLB8,none,cutting,49,402,353
2j-J2IiHLB8,cutting,cutting,401,406,5
2j-J2IiHLB8,cutting,cutting,403,408,5
2j-J2IiHLB8,cutting,cutting,407,412,5
2j-J2IiHLB8,cutting,cutting,409,438,29
2j-J2IiHLB8,none,cutting,439,450,11
2j-J2IiHLB8,cutting,cutting,451,468,17
2j-J2IiHLB8,cutting,cutting,465,470,5
2j-J2IiHLB8,cutting,cutting,469,474,5
2j-J2IiHLB8,cutting,cutting,471,476,5
2j-J2IiHLB8,cutting,cutting,475,480,5
2j-J2IiHLB8,cutting,cutting,477,482,5
2j-J2IiHLB8,cutting,cutting,481,486,5
2j-J2IiHLB8,cutting,cutting,483,488,5
2j-J2IiHLB8,cutting,cutting,487,492,5
2j-J2IiHLB8,cutting,cutting,489,494,5
2j-J2IiHLB8,cutting,cutting,493,510,17
2j-J2IiHLB8,cutting,cutting,506,511,5
2j-J2IiHLB8,cutting,cutting,511,516,5
2j-J2IiHLB8,cutting,cutting,512,517,5
2j-J2IiHLB8,cutting,cutting,517,522,5
2j-J2IiHLB8,cutting,cutting,518,523,5
2j-J2IiHLB8,cutting,cutting,523,528,5
2j-J2IiHLB8,cutting,cutting,524,529,5
2j-J2IiHLB8,cutting,cutting,529,570,41
2j-J2IiHLB8,none,cutting,571,576,5
2j-J2IiHLB8,cutting,cutting,577,594,17
2j-J2IiHLB8,cutting,cutting,590,595,5
2j-J2IiHLB8,cutting,cutting,595,600,5
2j-J2IiHLB8,cutting,cutting,596,601,5
2j-J2IiHLB8,cutting,cutting,601,606,5
2j-J2IiHLB8,cutting,cutting,602,607,5
2j-J2IiHLB8,cutting,cutting,607,612,5
2j-J2IiHLB8,cutting,cutting,608,613,5
2j-J2IiHLB8,cutting,cutting,613,618,5
2j-J2IiHLB8,cutting,cutting,614,619,5
2j-J2IiHLB8,cutting,cutting,619,624,5
2j-J2IiHLB8,cutting,cutting,620,625,5
2j-J2IiHLB8,cutting,cutting,625,630,5
2j-J2IiHLB8,cutting,cutting,626,631,5
2j-J2IiHLB8,cutting,cutting,631,642,11
2j-J2IiHLB8,cutting,cutting,638,643,5
2j-J2IiHLB8,cutting,cutting,643,648,5
2j-J2IiHLB8,cutting,cutting,644,649,5
2j-J2IiHLB8,cutting,cutting,649,684,35
2j-J2IiHLB8,cutting,cutting,682,687,5
2j-J2IiHLB8,cutting,cutting,685,696,11
2j-J2IiHLB8,none,cutting,697,702,5
2j-J2IiHLB8,cutting,cutting,703,720,17
2j-J2IiHLB8,cutting,cutting,717,722,5
2j-J2IiHLB8,cutting,cutting,721,726,5
2j-J2IiHLB8,cutting,cutting,723,728,5
2j-J2IiHLB8,cutting,cutting,727,738,11
2j-J2IiHLB8,cutting,cutting,737,742,5
