,video_id,labeler_2,labeler_1,duration,labeler_3,label,start_seconds,end_seconds
56,-3gFrKiC99I,,suturing,15.0,,suturing,713.0,728.0
57,-3gFrKiC99I,,,4.0,,background,728.0,732.0
58,-3gFrKiC99I,,suturing,31.0,,suturing,732.0,763.0
59,-3gFrKiC99I,,,5.0,,background,763.0,768.0
60,-3gFrKiC99I,,suturing,8.0,,suturing,768.0,776.0
61,-3gFrKiC99I,,,3.0,,background,776.0,779.0
62,-3gFrKiC99I,suturing,suturing,5.0,,suturing,779.0,784.0
63,-3gFrKiC99I,,,4.0,,background,784.0,788.0
64,-3gFrKiC99I,suturing,suturing,5.0,,suturing,788.0,793.0
65,-3gFrKiC99I,suturing,background,5.0,background,background,793.0,798.0
66,-DGQsmwXmLg,background,background,96.0,,background,0.0,96.0
67,-DGQsmwXmLg,cutting,cutting,100.0,,cutting,96.0,196.0
68,-DGQsmwXmLg,background,background,20.0,,background,196.0,216.0
69,0EeZIRDKYO4,background,background,16.0,,background,0.0,16.0
70,0EeZIRDKYO4,cutting,cutting,5.0,,cutting,16.0,21.0
71,0EeZIRDKYO4,,,4.0,,background,21.0,25.0
72,0EeZIRDKYO4,cutting,background,66.0,background,background,25.0,91.0
73,0EeZIRDKYO4,cutting,cutting,25.0,,cutting,91.0,116.0
74,0EeZIRDKYO4,,,3.0,,background,116.0,119.0
75,0EeZIRDKYO4,cutting,background,5.0,cutting,cutting,119.0,124.0
76,0EeZIRDKYO4,background,background,10.0,,background,124.0,134.0
77,0FHE1jSN3w0,background,background,35.0,,background,0.0,35.0
78,0FHE1jSN3w0,cutting,cutting,28.0,,cutting,35.0,63.0
79,0FHE1jSN3w0,,,3.0,,background,63.0,66.0
80,0FHE1jSN3w0,cutting,background,130.0,abstain,abstain,66.0,196.0
81,0FHE1jSN3w0,suturing,background,20.0,tying,tying,196.0,216.0
82,0FHE1jSN3w0,cutting,background,40.0,cutting,cutting,216.0,256.0
83,0FHE1jSN3w0,tying,background,15.0,tying,tying,256.0,271.0
84,0FHE1jSN3w0,background,background,5.0,,background,271.0,276.0
85,0FHE1jSN3w0,cutting,background,10.0,cutting,cutting,276.0,286.0
86,0FHE1jSN3w0,tying,background,20.0,tying,tying,286.0,306.0
87,0FHE1jSN3w0,cutting,background,15.0,cutting,cutting,306.0,321.0
88,0FHE1jSN3w0,tying,background,15.0,tying,tying,321.0,336.0
89,0FHE1jSN3w0,cutting,background,10.0,cutting,cutting,336.0,346.0
90,0FHE1jSN3w0,tying,background,20.0,tying,tying,346.0,366.0
91,0FHE1jSN3w0,cutting,background,15.0,background,background,366.0,381.0
92,0FHE1jSN3w0,tying,background,5.0,tying,tying,381.0,386.0
93,0FHE1jSN3w0,cutting,background,625.0,cutting,cutting,386.0,1011.0
94,0FHE1jSN3w0,tying,background,5.0,tying,tying,1011.0,1016.0
95,0FHE1jSN3w0,cutting,background,20.0,abstain,abstain,1016.0,1036.0
96,0FHE1jSN3w0,tying,background,10.0,tying,tying,1036.0,1046.0
97,0FHE1jSN3w0,cutting,background,25.0,cutting,cutting,1046.0,1071.0
98,0FHE1jSN3w0,tying,background,20.0,tying,tying,1071.0,1091.0
99,0FHE1jSN3w0,background,background,5.0,,background,1091.0,1096.0
100,0FHE1jSN3w0,cutting,background,25.0,cutting,cutting,1096.0,1121.0
101,0FHE1jSN3w0,background,background,10.0,,background,1121.0,1131.0
102,0FHE1jSN3w0,tying,background,15.0,tying,tying,1131.0,1146.0
103,0FHE1jSN3w0,background,background,10.0,,background,1146.0,1156.0
104,0FHE1jSN3w0,tying,background,15.0,tying,tying,1156.0,1171.0
105,0FHE1jSN3w0,background,background,30.0,,background,1171.0,1201.0
106,0FHE1jSN3w0,tying,background,10.0,tying,tying,1201.0,1211.0
107,0FHE1jSN3w0,suturing,background,10.0,suturing,suturing,1211.0,1221.0
108,0FHE1jSN3w0,tying,background,5.0,tying,tying,1221.0,1226.0
109,0FHE1jSN3w0,background,background,5.0,,background,1226.0,1231.0
110,0FHE1jSN3w0,cutting,background,11.0,abstain,abstain,1231.0,1242.0
111,0FHE1jSN3w0,suturing,suturing,12.0,,suturing,1242.0,1254.0
112,0FHE1jSN3w0,tying,suturing,6.0,,tying,1254.0,1260.0
113,0FHE1jSN3w0,suturing,suturing,111.0,,suturing,1260.0,1371.0
114,0FHE1jSN3w0,,,3.0,,background,1371.0,1374.0
115,0FHE1jSN3w0,suturing,suturing,10.0,,suturing,1374.0,1384.0
116,0FHE1jSN3w0,,,6.0,,background,1384.0,1390.0
117,0FHE1jSN3w0,suturing,suturing,65.0,,suturing,1390.0,1455.0
118,0FHE1jSN3w0,,,4.0,,background,1455.0,1459.0
119,0FHE1jSN3w0,suturing,background,5.0,suturing,suturing,1459.0,1464.0
120,0FHE1jSN3w0,background,background,5.0,,background,1464.0,1469.0
121,0VMxXsqmxYg,background,background,43.0,,background,0.0,43.0
122,0VMxXsqmxYg,cutting,cutting,10.0,,cutting,43.0,53.0
123,0VMxXsqmxYg,,,3.0,,background,53.0,56.0
124,0VMxXsqmxYg,cutting,background,25.0,cutting,cutting,56.0,81.0
125,0VMxXsqmxYg,,,4.0,,background,81.0,85.0
126,0VMxXsqmxYg,cutting,background,5.0,cutting,cutting,85.0,90.0
127,0oxhRpSq850,background,background,16.0,,background,0.0,16.0
128,0oxhRpSq850,cutting,cutting,5.0,,cutting,16.0,21.0
129,0oxhRpSq850,,,3.0,,background,21.0,24.0
130,0oxhRpSq850,cutting,background,71.0,cutting,cutting,24.0,95.0
131,0oxhRpSq850,,,3.0,,background,95.0,98.0
132,0oxhRpSq850,cutting,cutting,56.0,,cutting,98.0,154.0
133,0oxhRpSq850,,,4.0,,background,154.0,158.0
134,0oxhRpSq850,cutting,cutting,21.0,,cutting,158.0,179.0
135,0oxhRpSq850,background,background,19.0,,background,179.0,198.0
136,0oxhRpSq850,suturing,suturing,35.0,,suturing,198.0,233.0
137,0oxhRpSq850,,,3.0,,background,233.0,236.0
138,0oxhRpSq850,background,background,65.0,,background,236.0,301.0
139,0sN_jPLnyIE,cutting,background,10.0,cutting,cutting,0.0,10.0
140,0sN_jPLnyIE,background,background,20.0,,background,10.0,30.0
141,0sN_jPLnyIE,cutting,background,42.0,cutting,cutting,30.0,72.0
142,0sN_jPLnyIE,cutting,background,7.0,background,background,72.0,79.0
143,0sN_jPLnyIE,cutting,cutting,35.0,,cutting,79.0,114.0
144,0sN_jPLnyIE,,,4.0,,background,114.0,118.0
145,0sN_jPLnyIE,cutting,background,15.0,cutting,cutting,118.0,133.0
146,0sN_jPLnyIE,background,background,10.0,,background,133.0,143.0
147,1AwmGrnk-Qs,background,background,113.0,,background,0.0,113.0
148,1AwmGrnk-Qs,cutting,cutting,75.0,,cutting,113.0,188.0
149,1AwmGrnk-Qs,cutting,background,6.0,background,background,188.0,194.0
150,1AwmGrnk-Qs,cutting,cutting,21.0,,cutting,194.0,215.0
151,1AwmGrnk-Qs,cutting,background,20.0,background,background,215.0,235.0
152,1AwmGrnk-Qs,cutting,background,190.0,cutting,cutting,235.0,425.0
153,1AwmGrnk-Qs,,,4.0,,background,425.0,429.0
154,1AwmGrnk-Qs,cutting,background,15.0,cutting,cutting,429.0,444.0
155,1AwmGrnk-Qs,background,background,15.0,,background,444.0,459.0
156,1AwmGrnk-Qs,suturing,background,5.0,suturing,suturing,459.0,464.0
157,1AwmGrnk-Qs,tying,background,10.0,tying,tying,464.0,474.0
158,1AwmGrnk-Qs,suturing,background,10.0,suturing,suturing,474.0,484.0
159,1AwmGrnk-Qs,cutting,background,10.0,background,background,484.0,494.0
160,1AwmGrnk-Qs,suturing,background,5.0,suturing,suturing,494.0,499.0
161,1AwmGrnk-Qs,tying,background,10.0,tying,tying,499.0,509.0
162,1EBmECJP-Vk,cutting,background,21.0,cutting,cutting,0.0,21.0
163,1EBmECJP-Vk,,,3.0,,background,21.0,24.0
164,1EBmECJP-Vk,cutting,background,45.0,abstain,abstain,24.0,69.0
165,1EBmECJP-Vk,background,background,5.0,,background,69.0,74.0
166,1EBmECJP-Vk,cutting,background,117.0,abstain,abstain,74.0,191.0
167,1EBmECJP-Vk,cutting,cutting,53.0,,cutting,191.0,244.0
168,1EBmECJP-Vk,,,4.0,,background,244.0,248.0
169,1EBmECJP-Vk,cutting,cutting,51.0,,cutting,248.0,299.0
170,1EBmECJP-Vk,cutting,background,10.0,background,background,299.0,309.0
171,1PwQrgU2Lic,background,background,60.0,,background,0.0,60.0
172,1PwQrgU2Lic,cutting,background,51.0,cutting,cutting,60.0,111.0
173,1PwQrgU2Lic,,,3.0,,background,111.0,114.0
174,1PwQrgU2Lic,background,background,5.0,,background,114.0,119.0
175,1PwQrgU2Lic,cutting,background,20.0,cutting,cutting,119.0,139.0
176,1PwQrgU2Lic,,,3.0,,background,139.0,142.0
177,1PwQrgU2Lic,cutting,cutting,25.0,,cutting,142.0,167.0
178,1PwQrgU2Lic,,,4.0,,background,167.0,171.0
179,1PwQrgU2Lic,cutting,background,50.0,cutting,cutting,171.0,221.0
180,1PwQrgU2Lic,background,background,5.0,,background,221.0,226.0
181,1PwQrgU2Lic,cutting,background,55.0,cutting,cutting,226.0,281.0
182,1PwQrgU2Lic,,,3.0,,background,281.0,284.0
183,1PwQrgU2Lic,cutting,background,10.0,cutting,cutting,284.0,294.0
184,1PwQrgU2Lic,background,background,7.0,,background,294.0,301.0
185,1PwQrgU2Lic,,cutting,4.0,,cutting,301.0,305.0
186,1PwQrgU2Lic,,,3.0,,background,305.0,308.0
187,1PwQrgU2Lic,cutting,cutting,20.0,,cutting,308.0,328.0
188,1PwQrgU2Lic,,,3.0,,background,328.0,331.0
189,1PwQrgU2Lic,cutting,background,10.0,cutting,cutting,331.0,341.0
190,1PwQrgU2Lic,,,4.0,,background,341.0,345.0
191,1PwQrgU2Lic,cutting,cutting,5.0,,cutting,345.0,350.0
192,1PwQrgU2Lic,,,3.0,,background,350.0,353.0
193,1PwQrgU2Lic,cutting,background,8.0,background,background,353.0,361.0
194,1PwQrgU2Lic,cutting,cutting,7.0,,cutting,361.0,368.0
195,1PwQrgU2Lic,cutting,background,32.0,background,background,368.0,400.0
196,1PwQrgU2Lic,cutting,cutting,87.0,,cutting,400.0,487.0
197,1PwQrgU2Lic,,,5.0,,background,487.0,492.0
198,1PwQrgU2Lic,cutting,cutting,45.0,,cutting,492.0,537.0
199,1PwQrgU2Lic,,,3.0,,background,537.0,540.0
200,1PwQrgU2Lic,cutting,background,8.0,background,background,540.0,548.0
201,1PwQrgU2Lic,cutting,cutting,10.0,,cutting,548.0,558.0
202,1PwQrgU2Lic,,,6.0,,background,558.0,564.0
203,1PwQrgU2Lic,cutting,cutting,36.0,,cutting,564.0,600.0
204,1PwQrgU2Lic,background,background,5.0,,background,600.0,605.0
205,1PwQrgU2Lic,cutting,background,30.0,cutting,cutting,605.0,635.0
206,1PwQrgU2Lic,background,background,9.0,,background,635.0,644.0
207,1PwQrgU2Lic,cutting,cutting,21.0,,cutting,644.0,665.0
208,1PwQrgU2Lic,,,3.0,,background,665.0,668.0
209,1PwQrgU2Lic,cutting,cutting,30.0,,cutting,668.0,698.0
210,1PwQrgU2Lic,cutting,background,6.0,background,background,698.0,704.0
211,1PwQrgU2Lic,cutting,cutting,22.0,,cutting,704.0,726.0
212,1PwQrgU2Lic,cutting,background,40.0,background,background,726.0,766.0
213,1PwQrgU2Lic,cutting,background,40.0,cutting,cutting,766.0,806.0
214,1PwQrgU2Lic,background,background,25.0,,background,806.0,831.0
215,1PwQrgU2Lic,cutting,background,5.0,cutting,cutting,831.0,836.0
216,1PwQrgU2Lic,,,3.0,,background,836.0,839.0
217,1PwQrgU2Lic,cutting,cutting,20.0,,cutting,839.0,859.0
218,1PwQrgU2Lic,cutting,background,125.0,background,background,859.0,984.0
219,1PwQrgU2Lic,cutting,background,156.0,cutting,cutting,984.0,1140.0
220,1PwQrgU2Lic,background,background,20.0,,background,1140.0,1160.0
221,1PwQrgU2Lic,suturing,background,11.0,suturing,suturing,1160.0,1171.0
222,1PwQrgU2Lic,tying,tying,5.0,,tying,1171.0,1176.0
223,1PwQrgU2Lic,,,3.0,,background,1176.0,1179.0
224,1PwQrgU2Lic,tying,background,25.0,background,background,1179.0,1204.0
225,1PwQrgU2Lic,cutting,background,50.0,cutting,cutting,1204.0,1254.0
226,1PwQrgU2Lic,background,background,20.0,,background,1254.0,1274.0
227,1PwQrgU2Lic,suturing,background,45.0,abstain,abstain,1274.0,1319.0
228,1PwQrgU2Lic,background,background,5.0,,background,1319.0,1324.0
229,1PwQrgU2Lic,suturing,background,15.0,abstain,abstain,1324.0,1339.0
230,1YvFWU90eaE,cutting,cutting,15.0,,cutting,0.0,15.0
231,1YvFWU90eaE,,,4.0,,background,15.0,19.0
232,1YvFWU90eaE,cutting,background,35.0,cutting,cutting,19.0,54.0
233,1YvFWU90eaE,background,background,10.0,,background,54.0,64.0
234,1YvFWU90eaE,cutting,background,160.0,cutting,cutting,64.0,224.0
235,1YvFWU90eaE,background,background,5.0,,background,224.0,229.0
236,1YvFWU90eaE,tying,background,40.0,suturing,suturing,229.0,269.0
237,1YvFWU90eaE,cutting,background,78.0,cutting,cutting,269.0,347.0
238,1YvFWU90eaE,none,cutting,5.0,,background,347.0,352.0
239,1dki4N24iP8,cutting,background,22.0,cutting,cutting,0.0,22.0
240,1dki4N24iP8,,,6.0,,background,22.0,28.0
241,1dki4N24iP8,cutting,cutting,5.0,,cutting,28.0,33.0
242,1dki4N24iP8,,,4.0,,background,33.0,37.0
243,1dki4N24iP8,cutting,background,115.0,cutting,cutting,37.0,152.0
244,1dki4N24iP8,,,5.0,,background,152.0,157.0
245,1dki4N24iP8,cutting,cutting,252.0,,cutting,157.0,409.0
246,1dki4N24iP8,none,cutting,6.0,,background,409.0,415.0
247,1dki4N24iP8,cutting,cutting,175.0,,cutting,415.0,590.0
248,1dki4N24iP8,,,5.0,,background,590.0,595.0
249,1dki4N24iP8,none,cutting,6.0,,background,595.0,601.0
250,1dki4N24iP8,cutting,cutting,75.0,,cutting,601.0,676.0
251,1dki4N24iP8,,,3.0,,background,676.0,679.0
252,1dki4N24iP8,cutting,background,5.0,cutting,cutting,679.0,684.0
253,1dki4N24iP8,background,background,5.0,,background,684.0,689.0
254,1gKMtSA6VCY,background,background,80.0,,background,0.0,80.0
255,1gKMtSA6VCY,cutting,background,560.0,cutting,cutting,80.0,640.0
256,1gKMtSA6VCY,cutting,background,20.0,background,background,640.0,660.0
257,1yd_OrU2apY,background,background,61.0,,background,0.0,61.0
258,1yd_OrU2apY,cutting,cutting,32.0,,cutting,61.0,93.0
259,1yd_OrU2apY,,,3.0,,background,93.0,96.0
260,1yd_OrU2apY,cutting,background,10.0,cutting,cutting,96.0,106.0
261,1yd_OrU2apY,,,4.0,,background,106.0,110.0
262,1yd_OrU2apY,cutting,cutting,45.0,,cutting,110.0,155.0
263,1yd_OrU2apY,,,8.0,,background,155.0,163.0
264,1yd_OrU2apY,cutting,cutting,25.0,,cutting,163.0,188.0
265,1yd_OrU2apY,,,4.0,,background,188.0,192.0
266,1yd_OrU2apY,cutting,background,118.0,cutting,cutting,192.0,310.0
267,1yd_OrU2apY,cutting,background,58.0,background,background,310.0,368.0
268,1yd_OrU2apY,cutting,cutting,90.0,,cutting,368.0,458.0
269,1yd_OrU2apY,suturing,background,15.0,abstain,abstain,458.0,473.0
270,1yd_OrU2apY,cutting,cutting,5.0,,cutting,473.0,478.0
271,1yd_OrU2apY,,,3.0,,background,478.0,481.0
272,1yd_OrU2apY,suturing,background,33.0,background,background,481.0,514.0
273,1yd_OrU2apY,cutting,cutting,15.0,,cutting,514.0,529.0
274,1yd_OrU2apY,suturing,background,11.0,background,background,529.0,540.0
275,1yd_OrU2apY,cutting,cutting,6.0,,cutting,540.0,546.0
276,1yd_OrU2apY,background,background,11.0,,background,546.0,557.0
277,1yd_OrU2apY,cutting,cutting,5.0,,cutting,557.0,562.0
278,1yd_OrU2apY,suturing,background,6.0,background,background,562.0,568.0
279,1yd_OrU2apY,,cutting,4.0,,cutting,568.0,572.0
280,1yd_OrU2apY,suturing,background,32.0,background,background,572.0,604.0
281,1yd_OrU2apY,cutting,cutting,5.0,,cutting,604.0,609.0
282,1yd_OrU2apY,,,3.0,,background,609.0,612.0
283,1yd_OrU2apY,background,background,13.0,,background,612.0,625.0
284,1yd_OrU2apY,cutting,cutting,5.0,,cutting,625.0,630.0
285,1yd_OrU2apY,,,3.0,,background,630.0,633.0
286,1yd_OrU2apY,background,background,5.0,,background,633.0,638.0
287,1yd_OrU2apY,cutting,background,7.0,abstain,abstain,638.0,645.0
288,1yd_OrU2apY,cutting,cutting,10.0,,cutting,645.0,655.0
289,1yd_OrU2apY,,,3.0,,background,655.0,658.0
290,1yd_OrU2apY,cutting,background,6.0,background,background,658.0,664.0
291,1yd_OrU2apY,cutting,cutting,5.0,,cutting,664.0,669.0
292,1yd_OrU2apY,cutting,background,31.0,background,background,669.0,700.0
293,1yd_OrU2apY,suturing,suturing,10.0,,suturing,700.0,710.0
294,1yd_OrU2apY,,,5.0,,background,710.0,715.0
295,1yd_OrU2apY,tying,tying,40.0,,tying,715.0,755.0
296,1yd_OrU2apY,background,background,104.0,,background,755.0,859.0
297,1yd_OrU2apY,cutting,cutting,20.0,,cutting,859.0,879.0
298,1yd_OrU2apY,,,4.0,,background,879.0,883.0
299,1yd_OrU2apY,cutting,cutting,16.0,,cutting,883.0,899.0
300,1yd_OrU2apY,suturing,background,6.0,background,background,899.0,905.0
301,1yd_OrU2apY,suturing,suturing,22.0,,suturing,905.0,927.0
302,1yd_OrU2apY,tying,tying,28.0,,tying,927.0,955.0
303,1yd_OrU2apY,suturing,suturing,10.0,,suturing,955.0,965.0
304,1yd_OrU2apY,,,3.0,,background,965.0,968.0
305,1yd_OrU2apY,tying,tying,5.0,,tying,968.0,973.0
306,1yd_OrU2apY,,,3.0,,background,973.0,976.0
307,1yd_OrU2apY,suturing,suturing,10.0,,suturing,976.0,986.0
308,1yd_OrU2apY,,,4.0,,background,986.0,990.0
309,1yd_OrU2apY,tying,tying,10.0,,tying,990.0,1000.0
310,1yd_OrU2apY,background,background,31.0,,background,1000.0,1031.0
311,1yd_OrU2apY,cutting,cutting,40.0,,cutting,1031.0,1071.0
312,1yd_OrU2apY,,,3.0,,background,1071.0,1074.0
313,1yd_OrU2apY,suturing,background,6.0,background,background,1074.0,1080.0
314,1yd_OrU2apY,suturing,suturing,10.0,,suturing,1080.0,1090.0
315,1yd_OrU2apY,,,5.0,,background,1090.0,1095.0
316,1yd_OrU2apY,tying,tying,25.0,,tying,1095.0,1120.0
317,1yd_OrU2apY,,,4.0,,background,1120.0,1124.0
318,1yd_OrU2apY,tying,background,10.0,tying,tying,1124.0,1134.0
319,1yd_OrU2apY,,,4.0,,background,1134.0,1138.0
320,1yd_OrU2apY,,tying,4.0,,tying,1138.0,1142.0
321,1yd_OrU2apY,tying,background,10.0,background,background,1142.0,1152.0
322,1yd_OrU2apY,,suturing,6.0,,suturing,1152.0,1158.0
323,1yd_OrU2apY,background,background,10.0,,background,1158.0,1168.0
324,2XuCP7jeF7A,background,background,10.0,,background,0.0,10.0
325,2XuCP7jeF7A,cutting,cutting,37.0,,cutting,10.0,47.0
326,2XuCP7jeF7A,background,background,11.0,,background,47.0,58.0
327,2XuCP7jeF7A,cutting,cutting,31.0,,cutting,58.0,89.0
328,2XuCP7jeF7A,background,background,7.0,,background,89.0,96.0
329,2XuCP7jeF7A,cutting,cutting,80.0,,cutting,96.0,176.0
330,2XuCP7jeF7A,,,3.0,,background,176.0,179.0
331,2XuCP7jeF7A,cutting,background,10.0,cutting,cutting,179.0,189.0
332,2XuCP7jeF7A,suturing,background,15.0,suturing,suturing,189.0,204.0
333,2XuCP7jeF7A,cutting,background,9.0,background,background,204.0,213.0
334,2XuCP7jeF7A,cutting,cutting,100.0,,cutting,213.0,313.0
335,2XuCP7jeF7A,background,background,14.0,,background,313.0,327.0
336,2XuCP7jeF7A,suturing,suturing,20.0,,suturing,327.0,347.0
337,2XuCP7jeF7A,tying,tying,10.0,,tying,347.0,357.0
338,2XuCP7jeF7A,background,background,8.0,,background,357.0,365.0
339,2XuCP7jeF7A,suturing,suturing,5.0,,suturing,365.0,370.0
340,2XuCP7jeF7A,,,4.0,,background,370.0,374.0
341,2XuCP7jeF7A,tying,tying,16.0,,tying,374.0,390.0
342,2XuCP7jeF7A,tying,background,14.0,background,background,390.0,404.0
343,2XuCP7jeF7A,suturing,suturing,12.0,,suturing,404.0,416.0
344,2XuCP7jeF7A,none,suturing,6.0,,background,416.0,422.0
345,2XuCP7jeF7A,cutting,suturing,10.0,,cutting,422.0,432.0
346,2XuCP7jeF7A,suturing,background,5.0,suturing,suturing,432.0,437.0
347,2XuCP7jeF7A,,,3.0,,background,437.0,440.0
348,2XuCP7jeF7A,suturing,suturing,20.0,,suturing,440.0,460.0
349,2ekkzoZ_uns,cutting,background,46.0,cutting,cutting,0.0,46.0
350,2ekkzoZ_uns,,,3.0,,background,46.0,49.0
351,2ekkzoZ_uns,,cutting,64.0,,cutting,49.0,113.0
352,2ekkzoZ_uns,background,background,15.0,,background,113.0,128.0
353,2ekkzoZ_uns,cutting,background,45.0,abstain,abstain,128.0,173.0
354,2ekkzoZ_uns,background,background,5.0,,background,173.0,178.0
355,2ekkzoZ_uns,cutting,background,50.0,cutting,cutting,178.0,228.0
356,2ekkzoZ_uns,background,background,35.0,,background,228.0,263.0
357,2ekkzoZ_uns,suturing,background,15.0,suturing,suturing,263.0,278.0
358,2ekkzoZ_uns,cutting,background,5.0,background,background,278.0,283.0
359,2ekkzoZ_uns,tying,background,10.0,tying,tying,283.0,293.0
360,2ekkzoZ_uns,background,background,20.0,,background,293.0,313.0
361,2ekkzoZ_uns,cutting,background,10.0,abstain,abstain,313.0,323.0
362,2ekkzoZ_uns,suturing,background,5.0,suturing,suturing,323.0,328.0
363,2ekkzoZ_uns,background,background,10.0,,background,328.0,338.0
364,2ekkzoZ_uns,tying,background,5.0,tying,tying,338.0,343.0
365,2ekkzoZ_uns,background,background,20.0,,background,343.0,363.0
366,2ekkzoZ_uns,tying,background,30.0,tying,tying,363.0,393.0
367,2ekkzoZ_uns,cutting,background,20.0,cutting,cutting,393.0,413.0
368,2ekkzoZ_uns,tying,background,10.0,background,background,413.0,423.0
369,2ekkzoZ_uns,cutting,background,65.0,cutting,cutting,423.0,488.0
370,2ekkzoZ_uns,background,background,13.0,,background,488.0,501.0
371,2ekkzoZ_uns,,suturing,3.0,,suturing,501.0,504.0
372,2ekkzoZ_uns,tying,background,5.0,tying,tying,504.0,509.0
373,2ekkzoZ_uns,suturing,background,5.0,abstain,abstain,509.0,514.0
374,2ekkzoZ_uns,suturing,suturing,5.0,,suturing,514.0,519.0
375,2ekkzoZ_uns,,,6.0,,background,519.0,525.0
376,2ekkzoZ_uns,,tying,2.0,,tying,525.0,527.0
377,2ekkzoZ_uns,tying,background,5.0,abstain,abstain,527.0,532.0
378,2ekkzoZ_uns,cutting,background,5.0,cutting,cutting,532.0,537.0
379,2ekkzoZ_uns,background,background,20.0,,background,537.0,557.0
380,2ekkzoZ_uns,tying,background,7.0,tying,tying,557.0,564.0
381,2ekkzoZ_uns,,suturing,4.0,,suturing,564.0,568.0
382,2ekkzoZ_uns,,,4.0,,background,568.0,572.0
383,2ekkzoZ_uns,suturing,suturing,12.0,,suturing,572.0,584.0
384,2ekkzoZ_uns,,,5.0,,background,584.0,589.0
385,2ekkzoZ_uns,,tying,4.0,,tying,589.0,593.0
386,2ekkzoZ_uns,,,3.0,,background,593.0,596.0
387,2ekkzoZ_uns,,tying,3.0,,tying,596.0,599.0
388,2ekkzoZ_uns,suturing,background,5.0,suturing,suturing,599.0,604.0
